Feature,Importance
P_2_days_ago,5506.8874780624565
P_1_days_ago,3807.3308518169474
P_5_days_ago,81.42052597806311
Nearest_17,70.16829588967313
Nearest_24,69.1738401058078
FRP_5_days_ago,45.49759165071647
FWI_5_days_ago,15.182613792264693
Nearest_11,6.362396937383108
FRP_7_days_ago,2.8249655283432
FRP_2_days_ago,2.5927523555301546
Nearest_2,1.7020060574076012
FRP_6_days_ago,1.6136853035532412
Nearest_1,1.4092332597989523
FRP_4_days_ago,0.7291896923173325
Nearest_21,0.1169374542981439
VPD_1_days_ago,0.0802235405056798
V,0.0409434237102617
Nearest_15,0.0249498074531791
RH,0.0198637909406953
FWI_4_days_ago,0.0178295270630618
FWI_1_days_ago,0.0040304400922977
Nearest_9,0.0033574375850122
FWI_6_days_ago,0.0004913336129134
P_3_days_ago,1.7836720840149503e-05
VPD_7_days_ago,0.0
FRP_1_days_ago,0.0
FWI_2_days_ago,0.0
VPD_2_days_ago,0.0
U,0.0
P_7_days_ago,0.0
FWI_3_days_ago,0.0
VPD_3_days_ago,0.0
FWI_7_days_ago,0.0
FRP_3_days_ago,0.0
P_6_days_ago,0.0
VPD_4_days_ago,0.0
P_4_days_ago,0.0
VPD_5_days_ago,0.0
T,0.0
HT,0.0
VPD_6_days_ago,0.0
CAPE,0.0
VCI_TOT,0.0
VHI_TOT,0.0
TCI_TOT,0.0
SM,0.0
Nearest_3,0.0
Nearest_4,0.0
Nearest_5,0.0
Nearest_6,0.0
Nearest_7,0.0
Nearest_8,0.0
Nearest_10,0.0
RAIN,0.0
Nearest_12,0.0
Nearest_13,0.0
Nearest_14,0.0
Nearest_16,0.0
P,0.0
Nearest_18,0.0
Nearest_19,0.0
Nearest_20,0.0
Nearest_22,0.0
Nearest_23,0.0
VPD,0.0
Land_Use,0.0
VCI_AVE,0.0
TCI_AVE,0.0
VHI_AVE,0.0
ST,0.0
FWI,0.0
